year,month,day,prism,gcm
1985,8,1,22.09300041,1.3955
1985,8,2,0,0.4491
1985,8,3,0,1.7621
1985,8,4,0,13.0944
1985,8,5,0,0.7683
1985,8,6,0,0
1985,8,7,0,0
1985,8,8,34.22299957,0
1985,8,9,0,0.1414
1985,8,10,0,0.4172
1985,8,11,0,4.8395
1985,8,12,0,12.2361
1985,8,13,0,0.2271
1985,8,14,2.773000002,0
1985,8,15,0,2.8764
1985,8,16,0,0.0064
1985,8,17,0,0.162
1985,8,18,0,4.4231
1985,8,19,0,3.0328
1985,8,20,0.001,0.0839
1985,8,21,2.197000027,0
1985,8,22,8.328000069,0.3631
1985,8,23,0,0.0994
1985,8,24,0,0
1985,8,25,4.144999981,4.3301
1985,8,26,27.4489994,4.9734
1985,8,27,0,4.8564
1985,8,28,0,2.2367
1985,8,29,0,1.5142
1985,8,30,0,8.7696
1985,8,31,3.171000004,5.1948
1986,8,1,3.993000031,0
1986,8,2,19.72400093,0
1986,8,3,3.905999899,3.7682
1986,8,4,0,9.551
1986,8,5,0,0
1986,8,6,0,0
1986,8,7,0,4.6382
1986,8,8,0,2.0437
1986,8,9,0,0.3551
1986,8,10,42.07400131,0.071
1986,8,11,0.129999995,0.4574
1986,8,12,0,0.4958
1986,8,13,0,0
1986,8,14,0,0.0409
1986,8,15,0,0
1986,8,16,0,0
1986,8,17,0.002,1.7337
1986,8,18,6.928999901,8.7435
1986,8,19,0,3.036
1986,8,20,1.730999947,7.5608
1986,8,21,2.657000065,9.374
1986,8,22,12.00800037,0.8192
1986,8,23,0.476999998,0.3938
1986,8,24,22.92200089,0
1986,8,25,0,0.004
1986,8,26,0,4.6567
1986,8,27,0,0.4466
1986,8,28,0,6.0595
1986,8,29,0.017999999,0.0671
1986,8,30,0,0.0093
1986,8,31,0,5.4378
1987,8,1,0,3.8974
1987,8,2,0.003,0.5336
1987,8,3,0.856000006,2.8606
1987,8,4,3.910000086,0.0016
1987,8,5,0,0.0067
1987,8,6,17.77599907,0.2319
1987,8,7,0,3.1106
1987,8,8,0,1.614
1987,8,9,0,3.3222
1987,8,10,60.00799942,2.7038
1987,8,11,0,3.7938
1987,8,12,0,0
1987,8,13,0,0.0064
1987,8,14,0,0.0021
1987,8,15,0,0
1987,8,16,0,1.3277
1987,8,17,0,1.7004
1987,8,18,0,0.0687
1987,8,19,0,0.0257
1987,8,20,0,0.7535
1987,8,21,0,0
1987,8,22,0,0
1987,8,23,2.502000093,0.1441
1987,8,24,0,0.3469
1987,8,25,0,0.5048
1987,8,26,0,0.3884
1987,8,27,19.22599983,0.4331
1987,8,28,9.322999954,2.4597
1987,8,29,3.828999996,3.0556
1987,8,30,0,4.316
1987,8,31,0,0.0092
1988,8,1,0,11.7309
1988,8,2,0,18.383
1988,8,3,0,0.002
1988,8,4,0,1.7726
1988,8,5,0,8.001
1988,8,6,0,1.0476
1988,8,7,0,0
1988,8,8,0,0.0572
1988,8,9,0,0.7265
1988,8,10,0,0.2803
1988,8,11,0.414999992,0
1988,8,12,2.184000015,10.5828
1988,8,13,0.066,6.5644
1988,8,14,0,5.5183
1988,8,15,0,12.8626
1988,8,16,0,1.8917
1988,8,17,0,0.0419
1988,8,18,11.59000015,0.0949
1988,8,19,0,0.4457
1988,8,20,0,7.7042
1988,8,21,2.535000086,1.5091
1988,8,22,0,0.5612
1988,8,23,0,0.8013
1988,8,24,26.65699959,2.6218
1988,8,25,13.80799961,0.8474
1988,8,26,0,4.2553
1988,8,27,0,2.3202
1988,8,28,0,0.1853
1988,8,29,0.372000009,0
1988,8,30,14.69299984,0
1988,8,31,0,0
1989,8,1,2.190999985,0.1628
1989,8,2,0,4.539
1989,8,3,2.880000114,5.76
1989,8,4,0,0
1989,8,5,0.368999988,0.0254
1989,8,6,0,0.1243
1989,8,7,2.322000027,14.4361
1989,8,8,11.11400032,11.4615
1989,8,9,0,1.9879
1989,8,10,0,0.4086
1989,8,11,9.18200016,0.2656
1989,8,12,17.07500076,0.8886
