"year","month","day","ssp126","ssp245","ssp370","ssp585"
2015,8,1,2.5538,1.4037,0.133,8.2951
2015,8,2,3.4355,3.6616,1.2682,3.0055
2015,8,3,7.8881,3.241,1.1746,6.962
2015,8,4,0.1735,5.0457,2.8767,1.4549
2015,8,5,0.0509,0.0721,0.5356,6.9737
2015,8,6,0.023,0.008,0.8212,0.3551
2015,8,7,0,0.8852,1.1843,0.0447
2015,8,8,0.005,0.1284,1.6748,2.6819
2015,8,9,0.7187,16.8261,3.3366,1.8052
2015,8,10,3.4407,3.9293,3.846,9.266
2015,8,11,11.8914,1.9288,1.0015,10.9992
2015,8,12,9.3058,3.1183,0.3309,0.546
2015,8,13,8.6494,9.6175,0.0701,8.8632
2015,8,14,14.0762,7.2953,6.3886,4.1952
2015,8,15,9.9901,4.458,0,1.3191
2015,8,16,6.1895,1.8548,0,0.1316
2015,8,17,13.6862,0.8448,0,0.0058
2015,8,18,11.2917,0.4094,0,5.7095
2015,8,19,0.4046,5.6772,6.8072,5.5511
2015,8,20,3e-04,4.3646,5.7921,1.7609
2015,8,21,0,3.5034,0.8007,2.4377
2015,8,22,0.0031,11.7903,1e-04,2e-04
2015,8,23,1.2092,1.4366,1.6508,0.1981
2015,8,24,0.0065,0,0.2963,0.0593
2015,8,25,1.3041,2e-04,0.001,3.6867
2015,8,26,2.945,2.9339,0,4.6111
2015,8,27,12.0734,3.9794,0,0.329
2015,8,28,0.002,9.8143,0.001,7.4138
2015,8,29,0,0.1962,7.5925,1.4886
2015,8,30,0.0064,2.0809,9.6686,0.337
2015,8,31,0.6035,0.1427,0,0.0848
2016,8,1,0.0298,10.3788,3e-04,1.3103
2016,8,2,0.1035,0.4216,0,15.6089
2016,8,3,2.314,0,0.2879,9.7514
2016,8,4,1.7259,0,3.6915,6.248
2016,8,5,0.0446,0.2107,15.4631,6.7296
2016,8,6,0,5.384,15.4042,2.1501
2016,8,7,0,0.5946,2.8362,5.2812
2016,8,8,0.6938,0.0333,2.0472,1.6851
2016,8,9,8.5816,0.3362,1.1809,0.0556
2016,8,10,0.0276,0.524,0.4638,12.1846
2016,8,11,0,2.3979,1.3161,0.3406
2016,8,12,0.0021,2.9073,4.0121,0.0018
2016,8,13,0,0,1.3349,0.1447
2016,8,14,4.3891,0.5446,1.8259,0.0031
2016,8,15,0.6796,6.5248,3.9223,1.1494
2016,8,16,0,2.7823,0.407,9.5423
2016,8,17,0.0033,0.1023,3.6349,0.2995
2016,8,18,4e-04,0.0609,2.6633,0.9426
2016,8,19,0.8366,4.7384,1.1011,0.3088
2016,8,20,2.0337,4.2369,6.5887,1.1341
2016,8,21,3.6019,6.4015,0,1.1196
2016,8,22,6.057,0.6491,0.0312,1.113
2016,8,23,25.8687,0.0021,6.3969,2.055
2016,8,24,3.1383,3.497,9.9267,5.3902
2016,8,25,0,3.6365,3.1871,0.0067
2016,8,26,0.871,0.0647,0.5285,2.4769
2016,8,27,9.6848,0.061,1.387,0.0172
2016,8,28,0.1197,13.8276,0.1126,0
2016,8,29,0.001,7.0985,0.425,0
2016,8,30,0,0.7347,0.0025,0
2016,8,31,0,0,0,1e-04
2017,8,1,3.0895,4.015,0.5535,5.5218
2017,8,2,0.8483,9.1441,1.5217,2.0119
2017,8,3,0.9216,0.4424,0.2409,0.2182
2017,8,4,14.8966,3.4905,0.1391,0.0658
2017,8,5,7.649,0.7381,1.7506,1.3102
2017,8,6,7.9832,10.9145,0.185,0.6668
2017,8,7,6.4436,1.5017,0.0407,0.858
2017,8,8,0,1.0961,1.9396,0.1924
2017,8,9,0,6.0981,0,0
2017,8,10,0.7465,0.1948,0.0035,0
2017,8,11,2.8895,1e-04,0.0021,0
2017,8,12,0.1135,2.309,0.004,0
2017,8,13,1e-04,9.0257,0.1822,0
2017,8,14,0.4466,8.3285,0.4165,0
2017,8,15,0.2647,7.9255,2.9208,2.7401
2017,8,16,0.4358,3.3366,3.2778,2.9393
2017,8,17,1.4982,0,2.9024,0.1368
2017,8,18,1.7552,0.0689,1.1554,0
2017,8,19,0.4828,8.0397,1.9671,0
2017,8,20,0.0223,0.9575,9.2605,5.0705
2017,8,21,11.5078,2e-04,7.2999,0.7001
2017,8,22,1.408,7.574,0.6411,0.0829
2017,8,23,16.7064,3.9468,0.746,2.6417
2017,8,24,0.6195,0,1.854,6.5504
2017,8,25,24.0067,0,28.5241,4.2844
2017,8,26,1.2452,0.0094,0.7451,0
